text,label
Aap shortlist hue hain. ₹1000 verification fee bharein.,scam
Your parcel will be delivered today.,safe
Aap shortlist hue hain. ₹1000 verification fee bharein.,scam
Amazon refund pending. Call 9123XXXX now.,scam
Your SBI balance is updated.,safe
Your transaction of ₹99 is successful.,safe
Aapka Aadhaar block ho jayega. Turant KYC karein.,scam
Your package is out for delivery.,safe
Your ATM card is expiring. Update immediately.,scam
Your transaction of ₹1000 is successful.,safe
Aapka bank account freeze hoga. KYC update karein.,scam
Your class starts tomorrow.,safe
Amazon refund pending. Call 9123XXXX now.,scam
Aap shortlist hue hain. ₹50000 verification fee bharein.,scam
Suspicious activity detected on your Paytm. Click the link to verify.,scam
Aapke account me suspicious activity hai. Verify karein.,scam
Your parcel will be delivered today.,safe
Payment of ₹1000 received successfully.,safe
Your parcel will be delivered today.,safe
Your order has been shipped.,safe
Refund ke liye customer care par call karein: 9123XXXX.,scam
Your ATM card is expiring. Update immediately.,scam
Server maintenance is scheduled tonight.,safe
Aapka ATM card expire ho raha hai. KYC karein.,scam
Your class starts tomorrow.,safe
Your order has been shipped.,safe
Refund ke liye customer care par call karein: 8800XXXX.,scam
Server maintenance is scheduled tonight.,safe
Your package is out for delivery.,safe
Pay ₹50000 registration fee to start work-from-home job.,scam
Your ATM card is expiring. Update immediately.,scam
Payment of ₹99 received successfully.,safe
Aap shortlist hue hain. ₹50000 verification fee bharein.,scam
Payment of ₹199 received successfully.,safe
Your order has been shipped.,safe
Your package is out for delivery.,safe
Your parcel will be delivered today.,safe
Aapka bank account freeze hoga. KYC update karein.,scam
Refund ke liye customer care par call karein: 9099XXXX.,scam
Your ATM card is expiring. Update immediately.,scam
Reminder: Your appointment is tomorrow.,safe
Your order has been shipped.,safe
Your Paytm will be blocked. Update KYC immediately.,scam
Aap shortlist hue hain. ₹299 verification fee bharein.,scam
Reminder: Your appointment is tomorrow.,safe
Your SBI balance is updated.,safe
Aapke account me suspicious activity hai. Verify karein.,scam
Aapka ATM card expire ho raha hai. KYC karein.,scam
Pay ₹299 registration fee to start work-from-home job.,scam
Your package is out for delivery.,safe
Aapko ₹499 ka cashback mila hai. Claim karein.,scam
Your parcel will be delivered today.,safe
Pay ₹50000 registration fee to start work-from-home job.,scam
Aapka bank account freeze hoga. KYC update karein.,scam
Refund ke liye customer care par call karein: 9123XXXX.,scam
You have won ₹50 reward. Claim now.,scam
Your class starts tomorrow.,safe
Aapko ₹299 ka cashback mila hai. Claim karein.,scam
Aapka bank account freeze hoga. KYC update karein.,scam
Aapka bank account freeze hoga. KYC update karein.,scam
Your SBI balance is updated.,safe
Your order has been shipped.,safe
Meeting scheduled at 2 PM.,safe
Your transaction of ₹1000 is successful.,safe
Your class starts tomorrow.,safe
Your package is out for delivery.,safe
Meeting scheduled at 6 PM.,safe
Your SBI balance is updated.,safe
Your SBI balance is updated.,safe
Amazon refund pending. Call 9099XXXX now.,scam
Payment of ₹299 received successfully.,safe
Your SBI balance is updated.,safe
Aapko ₹99 ka cashback mila hai. Claim karein.,scam
Server maintenance is scheduled tonight.,safe
Your class starts tomorrow.,safe
Your UPI ID will be disabled. Verify now.,scam
Server maintenance is scheduled tonight.,safe
